Band,Frequency (nm),Spectrum Colour
BAND_1,409.1824016,Violet
BAND_2,411.4021711,Violet
BAND_3,413.6219405,Violet
BAND_4,415.8417099,Violet
BAND_5,418.0614793,Violet
BAND_6,420.2812487,Violet
BAND_7,422.5010182,Violet
BAND_8,424.7207876,Violet
BAND_9,426.940557,Violet
BAND_10,429.1603264,Violet
BAND_11,431.3800958,Violet
BAND_12,433.5998653,Violet
BAND_13,435.8196347,Violet
BAND_14,438.0394041,Violet
BAND_15,440.2591735,Violet
BAND_16,442.4789429,Violet
BAND_17,444.6987124,Violet
BAND_18,446.9184818,Violet
BAND_19,449.1382512,Violet
BAND_20,451.3580206,Blue
BAND_21,453.57779,Blue
BAND_22,455.7975595,Blue
BAND_23,458.0173289,Blue
BAND_24,460.2370983,Blue
BAND_25,462.4568677,Blue
BAND_26,464.6766371,Blue
BAND_27,466.8964066,Blue
BAND_28,469.116176,Blue
BAND_29,471.3359454,Blue
BAND_30,473.5557148,Blue
BAND_31,475.7754842,Blue
BAND_32,477.9952537,Blue
BAND_33,480.2150231,Blue
BAND_34,482.4347925,Blue
BAND_35,484.6545619,Blue
BAND_36,486.8743313,Cyan
BAND_37,489.0941008,Cyan
BAND_38,491.3138702,Cyan
BAND_39,493.5336396,Cyan
BAND_40,495.753409,Cyan
BAND_41,497.9731784,Cyan
BAND_42,500.1929479,Cyan
BAND_43,502.4127173,Cyan
BAND_44,504.6324867,Cyan
BAND_45,506.8522561,Cyan
BAND_46,509.0720255,Cyan
BAND_47,511.291795,Green
BAND_48,513.5115644,Green
BAND_49,515.7313338,Green
BAND_50,517.9511032,Green
BAND_51,520.1708726,Green
BAND_52,522.3906421,Green
BAND_53,524.6104115,Green
BAND_54,526.8301809,Green
BAND_55,529.0499503,Green
BAND_56,531.2697197,Green
BAND_57,533.4894892,Green
BAND_58,535.7092586,Green
BAND_59,537.929028,Green
BAND_60,540.1487974,Green
BAND_61,542.3685668,Green
BAND_62,544.5883363,Green
BAND_63,546.8081057,Green
BAND_64,549.0278751,Green
BAND_65,551.2476445,Green
BAND_66,553.4674139,Green
BAND_67,555.6871834,Green
BAND_68,557.9069528,Green
BAND_69,560.1267222,Green
BAND_70,562.3464916,Green
BAND_71,564.566261,Green
BAND_72,566.7860305,Yellow
BAND_73,569.0057999,Yellow
BAND_74,571.2255693,Yellow
BAND_75,573.4453387,Yellow
BAND_76,575.6651081,Yellow
BAND_77,577.8848776,Yellow
BAND_78,580.104647,Yellow
BAND_79,582.3244164,Yellow
BAND_80,584.5441858,Yellow
BAND_81,586.7639552,Yellow
BAND_82,588.9837247,Yellow
BAND_83,591.2034941,Orange
BAND_84,593.4232635,Orange
BAND_85,595.6430329,Orange
BAND_86,597.8628023,Orange
BAND_87,600.0825718,Orange
BAND_88,602.3023412,Orange
BAND_89,604.5221106,Orange
BAND_90,606.74188,Orange
BAND_91,608.9616494,Orange
BAND_92,611.1814189,Orange
BAND_93,613.4011883,Orange
BAND_94,615.6209577,Orange
BAND_95,617.8407271,Orange
BAND_96,620.0604965,Orange
BAND_97,622.280266,Orange
BAND_98,624.5000354,Orange
BAND_99,626.7198048,Red
BAND_100,628.9395742,Red
BAND_101,631.1593436,Red
BAND_102,633.3791131,Red
BAND_103,635.5988825,Red
BAND_104,637.8186519,Red
BAND_105,640.0384213,Red
BAND_106,642.2581907,Red
BAND_107,644.4779602,Red
BAND_108,646.6977296,Red
BAND_109,648.917499,Red
BAND_110,651.1372684,Red
BAND_111,653.3570378,Red
BAND_112,655.5768073,Red
BAND_113,657.7965767,Red
BAND_114,660.0163461,Red
BAND_115,662.2361155,Red
BAND_116,664.4558849,Red
BAND_117,666.6756544,Red
BAND_118,668.8954238,Red
BAND_119,671.1151932,Red
BAND_120,673.3349626,Red
BAND_121,675.554732,Red
BAND_122,677.7745015,Red
BAND_123,679.9942709,Red
BAND_124,682.2140403,Red
BAND_125,684.4338097,Red
BAND_126,686.6535791,Red
BAND_127,688.8733486,Red
BAND_128,691.093118,Red
BAND_129,693.3128874,Red
