Band,H vs BCC,H vs SCC,SCC vs BCC
1,0.40369859,0.253946513,0.32174771
2,0.343858991,0.447012233,0.15656669
3,0.459027329,0.618222812,0.16796469
4,0.375521755,0.476550685,0.178734385
5,0.398650487,0.003383147,0.393558728
6,0.355185992,0.001195304,0.356187214
7,0.360499133,0.469381092,0.059280527
8,0.366318304,0.003667426,0.379880955
9,0.382380085,0.143270719,0.4145032
10,0.381786358,0.002894017,0.375048941
11,0.382699186,0.485693717,0.190030504
12,0.347232984,0.589235855,0.239689552
13,0.400428938,0.153078942,0.36558743
14,0.396994031,0.384879058,0.167157609
15,0.418010262,0.388324042,0.183822664
16,0.424745999,0.417572211,0.109995988
17,0.384683832,0.372553784,0.247751014
18,0.381471972,0.145001812,0.373822597
19,0.406038092,0.351881968,0.17062869
20,0.429358142,0.39289803,0.048463706
21,0.435059426,0.253234743,0.357415417
22,0.42363096,0.242253658,0.363446498
23,0.389290913,0.143041218,0.372642854
24,0.418877202,0.135859597,0.361792337
25,0.435959422,0.244026276,0.350825846
26,0.305349586,0.236850225,0.115459706
27,0.396235131,0.140368413,0.365208143
28,0.440102193,0.235103912,0.362958213
29,0.396135243,0.13779574,0.358057501
30,0.30433193,0.229471688,0.101019684
31,0.304138153,0.234714879,0.103834996
32,0.30308884,0.220037558,0.098669632
33,0.299032508,0.225818061,0.099949139
34,0.298489363,0.221296325,0.091146203
35,0.301844946,0.217045448,0.09722757
36,0.295029877,0.218294615,0.085159939
37,0.299928317,0.211367225,0.093502259
38,0.298888369,0.113924453,0.218355612
39,0.292746599,0.116200977,0.219654105
40,0.203086384,0.108722862,0.087796646
41,0.207293056,0.207246993,0.010012965
42,0.202931976,0.110502141,0.081442395
43,0.292682967,0.212109175,0.082027605
44,0.29201861,0.209531617,0.080033906
45,0.207085114,0.108330712,0.09096002
46,0.290291327,0.211090517,0.0798014
47,0.300029845,0.218787515,0.087116589
48,0.29502776,0.213461569,0.084048382
49,0.302164572,0.285786749,0.007771121
50,0.222686667,0.218598117,0.010335236
51,0.299980993,0.22168565,0.092151619
52,0.432191924,0.220907003,0.352193953
53,0.217304029,0.225865508,0.008891382
54,0.326454199,0.288294843,0.074425933
55,0.200330689,0.219723252,0.011531432
56,0.28608133,0.284332422,0.010839344
57,0.205199653,0.221856818,0.010634831
58,0.288686698,0.212338575,0.067874291
59,0.323839629,0.284329027,0.076651317
60,0.201581007,0.208370308,0.007691366
61,0.292906203,0.278757808,0.010904315
62,0.284807926,0.204879104,0.066642955
63,0.293918517,0.277975392,0.007802819
64,0.197565368,0.201936888,0.011339399
65,0.324383612,0.277232486,0.071501108
66,0.288422461,0.270726687,0.009346731
67,0.292902832,0.27602736,0.008715289
68,0.203754984,0.20492545,0.009561155
69,0.204626047,0.208167412,0.011960961
70,0.288898986,0.274667313,0.007903723
71,0.201492609,0.205076232,0.010957867
72,0.190577919,0.336485396,0.414122749
73,0.273328123,0.255841074,0.017981549
74,0.167689243,0.184179673,0.016227058
75,0.157514537,0.172293394,0.013791327
76,0.143592484,0.161259104,0.009984496
77,0.137823537,0.061276176,0.046408879
78,0.030824672,0.052392026,0.011195026
79,0.008100887,0.006879433,0.010833651
80,0.025312507,0.039072221,0.011186435
81,0.029720759,0.041398354,0.010708776
82,0.023525367,0.011786168,0.031748697
83,0.009421928,0.006889966,0.010870094
84,0.014659855,0.008974806,0.014677358
85,0.013306636,0.025450064,0.022924862
86,0.030389058,0.012515926,0.028925304
87,0.024241476,0.021355718,0.009643153
88,0.029140499,0.025103847,0.012511761
89,0.030135702,0.02647427,0.012838773
90,0.026755816,0.028234027,0.013330277
91,0.026417084,0.021937983,0.014198008
92,0.010404654,0.017448174,0.017962676
93,0.014879931,0.012510276,0.014160728
94,0.022521065,0.013773823,0.012093989
95,0.01062906,0.007348091,0.010201519
96,0.010302514,0.005530874,0.006836726
97,0.007684972,0.014889518,0.012693001
98,0.010443841,0.015006849,0.012112125
