Channel,H vs SCC,H vs BCC,SCC vs BCC
53,0.595194701,0.53800691,0.494344086
54,0.598484175,0.534869976,0.497268817
55,0.615220484,0.530323695,0.514774194
56,0.605574324,0.528346063,0.512387097
57,0.608597084,0.533847063,0.500752688
58,0.599795519,0.535324604,0.489526882
59,0.595861486,0.541143844,0.515655914
60,0.596194879,0.545053646,0.518731183
61,0.594305654,0.546622113,0.516623656
62,0.588815789,0.547099473,0.52427957
63,0.593905583,0.552600473,0.526709677
64,0.596061522,0.544280778,0.523612903
65,0.592016358,0.546235679,0.516516129
66,0.592105263,0.539552646,0.475741935
67,0.593394381,0.543098745,0.522774194
68,0.594639047,0.549872704,0.520645161
69,0.594372333,0.542735043,0.521333333
70,0.595950391,0.538347881,0.479913978
71,0.593972262,0.541916712,0.51688172
72,0.597217283,0.540802873,0.516516129
73,0.598973151,0.541439353,0.477526882
74,0.596506046,0.547690489,0.480408602
75,0.599284317,0.550009093,0.478623656
76,0.598706437,0.548917985,0.524322581
77,0.600240043,0.552418622,0.527698925
78,0.596906117,0.556783051,0.531397849
79,0.60095128,0.558601564,0.530451613
80,0.601929232,0.557487725,0.53483871
81,0.597328414,0.559283506,0.538580645
82,0.597884068,0.560874704,0.53888172
83,0.5970617,0.5648527,0.538064516
84,0.601440256,0.563602473,0.539139785
85,0.60112909,0.5621022,0.533462366
86,0.602640469,0.562056738,0.527053763
87,0.597572902,0.562329514,0.53488172
88,0.593127667,0.565511911,0.541698925
89,0.588393492,0.563966176,0.546580645
90,0.589438122,0.563329696,0.548989247
91,0.588282361,0.564011638,0.549935484
92,0.592060811,0.570899254,0.552387097
93,0.588015647,0.565921077,0.551741935
94,0.58863798,0.56823968,0.551354839
95,0.585881935,0.566421167,0.552430108
96,0.587637802,0.568603382,0.554709677
97,0.584548364,0.565511911,0.553956989
98,0.586415363,0.565511911,0.552172043
99,0.589260313,0.568148754,0.55772043
100,0.588126778,0.564102564,0.556086022
101,0.584237198,0.568830696,0.560645161
102,0.585926387,0.567239498,0.555505376
103,0.589482575,0.566193853,0.553182796
104,0.585970839,0.565398254,0.552752688
105,0.585259602,0.564602655,0.553290323
106,0.589660384,0.565602837,0.553376344
107,0.587682255,0.567353155,0.555827957
108,0.588415718,0.565739225,0.550666667
109,0.586682077,0.566739407,0.554967742
110,0.587704481,0.563102382,0.554451613
111,0.584859531,0.564261684,0.548946237
112,0.58730441,0.565602837,0.559569892
113,0.586859886,0.561102019,0.553849462
114,0.586993243,0.565693763,0.553548387
115,0.583459282,0.563375159,0.556946237
116,0.585815256,0.560738316,0.556903226
117,0.587082148,0.563784324,0.554602151
