Band,Residuals
1,28.87416
2,26.36797
3,23.2944
4,22.74607
5,22.99734
6,25.34787
7,24.54342
8,23.97802
9,22.32317
10,23.98998
11,23.40515
12,24.83126
13,24.70281
14,24.94403
15,24.75468
16,25.99173
17,25.55642
18,27.0126
19,26.73148
20,27.94007
21,27.01631
22,27.80497
23,27.46932
24,27.82888
25,28.97131
26,29.29297
27,28.92406
28,29.07576
29,30.02409
30,30.49679
31,31.12911
32,31.41805
33,32.29194
34,31.82744
35,33.1568
36,32.99821
37,33.61999
38,33.5928
39,35.17927
40,34.6257
41,34.84002
42,34.78012
43,35.36022
44,34.60767
45,35.25963
46,33.7885
47,34.52285
48,33.11263
49,33.40284
50,32.1449
51,32.42701
52,31.87839
53,32.91808
54,32.65676
55,34.95016
56,34.42859
57,34.75698
58,33.48144
59,34.35252
60,33.74034
61,35.02794
62,34.59848
63,35.54012
64,35.20441
65,35.74236
66,35.44026
67,36.23569
68,34.7482
69,35.73861
70,34.9912
71,36.48384
72,37.19637
73,40.02757
74,41.85433
75,46.03078
76,49.03632
77,54.6098
78,57.69118
79,63.20545
80,66.83792
81,71.99124
82,74.84249
83,80.01053
84,83.24955
85,88.33245
86,91.06064
87,95.12472
88,96.10016
89,99.63914
90,100.9244
91,104.1918
92,105.634
93,108.2692
94,109.257
95,111.3695
96,112.4745
97,113.4141
98,114.5117
99,115.126
100,115.5731
101,117.1221
102,116.8807
103,117.924
104,117.2339
105,118.2313
106,116.9048
107,118.4322
108,118.1057
109,119.6701
110,118.1276
111,119.6923
112,119.1013
113,120.7581
114,119.6316
115,121.1708
116,120.3663
117,123.0442
118,121.748
119,123.6435
120,122.3526
121,124.4844
122,123.1998
123,124.684
124,123.5226
125,124.7789
126,123.9025
127,125.3111
128,123.8333
129,124.573
130,123.2263
131,123.8979
132,122.5135
133,123.1236
134,120.8104
135,121.7794
136,119.5168
137,120.3231
138,118.0715
139,118.3286
140,116.0865
141,117.1073
142,113.9245
143,114.6578
144,112.8392
145,113.0004
146,111.3103
147,110.9732
148,110.0649
149,110.3662
150,108.8641
151,109.3224
152,107.9047
153,108.4811
154,108.2916
155,107.9986
156,108.1436
157,107.7769
158,107.7216
159,108.1725
160,108.0508
161,107.7787
162,107.4493
163,107.665
164,108.1622
165,107.4354
166,107.4724
167,107.492
168,107.4935
169,107.3258
170,106.5113
171,107.3596
172,106.1364
173,105.7528
174,105.8522
175,106.3053
176,104.6192
177,106.0763
178,105.0181
179,105.1457
180,103.5888
181,103.4394
182,102.114
183,103.2903
184,100.6167
185,101.4898
186,99.45787
187,100.877
188,98.40711
189,100.4265
190,96.63158
191,99.14809
192,96.38641
193,99.60713
194,96.03121
195,99.19972
196,95.48393
197,98.62465
198,95.18466
199,99.18243
200,95.40057
201,97.57355
202,93.83268
203,96.94799
204,93.18705
205,96.10078
206,92.23687
207,95.19935
208,91.49662
209,94.29653
210,90.56908
211,93.44025
212,88.81347
213,90.98202
214,88.30541
215,91.52376
216,85.56998
217,89.43515
218,86.07203
219,86.99742
220,84.99074
221,85.33358
222,83.05205
223,83.36529
224,81.01128
225,82.19074
226,80.09923
227,78.19348
228,76.71768
229,77.28203
230,75.79607
231,76.99629
232,74.93588
233,76.51828
234,73.70811
235,73.79411
236,71.08405
237,71.11235
238,67.86644
239,66.9068
240,65.00239
241,64.39475
242,63.4785
243,62.7968
244,62.21589
245,59.60609
246,63.28474
247,59.43207
248,62.27477
249,61.16518
250,63.18741
251,62.2641
252,63.66837
253,62.22069
254,65.88907
255,64.46295
256,65.01868
257,65.82989
258,69.09194
259,65.06313
260,67.7621
